content,score
"﻿跟女朋友一起看的，重温经典。很有意义。
",0.995463970197587
"好看的好看的
",0.8452551472531872
"经典不腻，不看可惜。
",0.9351834721329719
"感人，选择了一种人生就要面对啊！
",0.9996324147226144
"感人，人世一遭，对自己好点
",0.9775676491546774
"看完这部电影，关于人生你会多很多感触。看完后你可以放下很多东西，也可以拾起很多东西。人生得选择，谁说谁可怜？至于那些嘲笑别人泪流满面的人，才是最可悲的。
",0.9999990030770365
"寓意深刻，值得想象
",0.9934429596670079
"永远漂泊在海上的  1900  。一个出生在时代最开端的 1900 。虽然没有到过船外的世界，可在自己有限的黑白琴键中，勾勒出了自己曼妙的一生。没有父母没有爱人没有家甚至没有名字，但却什么都有。虽然一生都在海上，却看的比谁都广阔。孤身一人去面对生命的动人乐章，谢谢，永远的1900。?
",0.9999999999998268
"很好看，眼泪忍不住就流出来了。
",0.9705452110777599
"没有太看懂，感觉只是看了一个故事，中心思想没有理解
",0.7779621743558975
"挺无聊的，只有后面10分钟的感动
",0.5755854684022029
"经典就是经典
",0.9009509963040594
"emm挺好看的，但是我要是他兄弟我会把他打晕捞出来。看完这个电影觉得他不下陆地就是懦弱。
",0.9159729781941862
"之前看过，重温一遍！
",0.9783489411009788
"非常好看，情节连贯，时间切换自然，思想演绎深入，特别棒的一部电影。
",0.9999253472330303
"1900的纯真和深刻，值得被写出来！
",0.9714733406420617
"好看，好感触
",0.9515946184263675
"人生中第一次看这么没故事情节的电影，让费时间
",0.9921728092121558
"没看懂 这部电影的经典在哪？然后评分为什么还那么高？
",0.9354710805742837
"没有看懂。比较文艺，觉得男主角太固执了
",0.9967398287648795
"情感刻画的很细腻，细节表现的也很好
",0.9999799065320331
"纯粹的一生，只能以纯粹但令人心碎的陨落谢幕。1900没有错，错的是追求欲望的社会
",0.9997838618614612
"和原来的相比，时间缩短了近一个小时，不过画面很美，这影片最好的地方还是内心深处的感悟，无处安放的自由，就是雷蒙斯不下船的原因！至少他还有艏船！未入尘世，尝尽人生百味！他的一生都用钢琴演奏出来了
",0.9999999999140536
"环境！价格！效果都没问题喽！棒棒哒
",0.5934301368690008
"得到的启示比较少
",0.7351104616538622
"哭的稀里哗啦
",0.9410876994651625
"安于本心，恬静自守。
",0.879478652451022
"他的人生随着一个时代落幕
",0.9531360054563488
"天才与疯子。。
",0.6890554194113834
"他就是不愿意去面对陆地上的压力，就像现代人活着需要面对房贷车贷等等
",0.9979486164907376
"1900拒绝走下梯子，登上陆地，哪怕哪里有那么美丽的女孩，让他流淌如斯绝妙音乐的女孩：陆地上没有尽头，有的是无尽的选择，无尽的欲望，人要如何在这样的选择和欲望下生活？所有人欢呼雀跃的“America”真的如他们所愿，幸福，开心，满足？不用在夏天担忧冬天的到来，在冬天里又期待夏天？—— 所谓一念未逝，诸念又起，纷纷扰扰，那无尽的念头，就足以让人焦虑，疲惫，不知所往，哪里像在“弗吉尼亚”上，哪里就像就在当下，如此美好，如此满足。
",1.0
"人生是一场没有彩排的电影、都是现场直播
",0.6018685431771374
"强烈推荐 老电影是真的太好看
",0.8789824144560988
"纯粹的人纯净的曲子
",0.7308649528513746
"很不错的一部片子
",0.9884436838946684
"好看，有深度，不错
",0.9414243898746906
"看哭了。1900  传奇
",0.9820228984059418
"第二次看，感动
",0.8352777767122426
"豆瓣高分重新搬上银幕，还是那么好
",0.9180204788374196
"很感人，震撼心灵的那种
",0.9993562866269196
"真好看，艺术篇中的精品
",0.9944199133269946
"喜欢 果然还是爱情的开始最美好啊 斗琴和遇到都很棒
",0.9961225510841529
"每个人都有自己的世界，就很害怕到别人的世界，因为有那么多看不见的随时可变的因素，所以我也一直喜欢呆在自己的世界里，不做任何改变！
",0.9998630426907433
"经典再现，好看
",0.9500946424614523
"有一说一好看
",0.5868227851377054
"经典无需多言！也许今天依然在某艘客轮上有人在弹奏自己的乐曲！
",0.8581105234458015
"影片很好，一个天才的孤独，演员的演技一流！
",0.9999929376793473
"唯美，纯洁的一部电影
",0.9956461546614197
"其实你也很孤独吧！
",0.9870234455702477
"老电影，电影老了
",0.9457849975477786
"非常好…喜欢男主角这样的特吧的人…希望他好好的…
",0.9491033990013727
"说实话不好看，整个影片除了1900的钢琴天赋让人感觉神奇外，没有正能量，有的只有同情，可怜，当船要被炸毁时，朋友劝1900下船，1900却因为害怕懦弱而拒绝时，我真想扇他两个巴掌
",0.7022704289470707
"感动?造物弄人
",0.7450485673186891
"一般，结尾不太圆满
",0.9062018770958878
"钢琴师的结局是 他死都不下船
",0.756430121268138
"第一次看 结局有点遗憾同时也很完美吧！
",0.9983062205811454
"经典就是无论在任何时代都是精品
",0.9791072602322873
"一开始觉得这样的结尾是遗憾的，1900为什么到最后还不下船呢，后来又觉得他的选择是没有遗憾 是不悔的，他是为艺术而生的，在船上想象着这世界的美好，这世界的鲜活在他心里 在他的指尖。不知道或者忘记他的人像往常一样过着生活，对于曼克斯，他要带着回忆和思念活着，觉得不公平，会很痛苦。但是最后音乐点的老板把小号重归于曼克斯手里的时候，又觉得曼克斯拿着希望消失在了雾中，一切终将会是新的开始，就如同他希望1900有新的开始一样，是时候也该给自己一个新的开始
",0.9999999999993614
"一场视听盛宴，久违的感动
",0.9953719911768446
"很好很好很好
",0.9728436182123619
"我是实用主义的中国人，有点不理解剧情，不知道怎么会这么高分
",0.8394044523371416
"纯粹的匠人精神
",0.8126180621577656
"满分，真不得说
",0.7331664551097047
"挺好看的。。。
",0.8406932054339223
